city,temperature,humidity,pressure,weather,wind_speed,date
Phoenix,25.810000000000002,14,1011,scattered clouds,2.06,2024-11-23T22:23:02.301866
Phoenix,25.810000000000002,14,1011,scattered clouds,2.06,2024-11-23T22:24:02.617524
Phoenix,25.810000000000002,14,1011,scattered clouds,2.06,2024-11-23T22:25:02.923611
Phoenix,25.80000000000001,14,1010,scattered clouds,2.06,2024-11-23T22:33:52.953712
Phoenix,25.80000000000001,14,1010,scattered clouds,2.06,2024-11-23T22:34:53.178694
Phoenix,25.80000000000001,14,1010,scattered clouds,2.06,2024-11-23T22:35:53.544675
Phoenix,25.80000000000001,14,1010,scattered clouds,2.06,2024-11-23T22:36:53.781663
Phoenix,25.80000000000001,14,1010,scattered clouds,2.06,2024-11-23T22:37:54.175213
Phoenix,25.80000000000001,14,1010,scattered clouds,2.06,2024-11-23T22:38:54.404751
Phoenix,25.80000000000001,14,1010,scattered clouds,2.06,2024-11-23T22:39:54.615291
Phoenix,25.80000000000001,14,1010,scattered clouds,2.06,2024-11-23T22:40:54.837822
Phoenix,25.82000000000005,14,1010,scattered clouds,2.06,2024-11-23T22:41:55.283703
Phoenix,25.80000000000001,14,1010,scattered clouds,2.06,2024-11-23T22:42:55.649576
Phoenix,25.77000000000004,14,1010,scattered clouds,2.24,2024-11-23T22:43:55.954891
